reviewerID	asin	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	lable	psubCat
A2SHSI37DKP48W	B0016J9U0K	1	1.25	500000	0.489897949	0.4	1.346291202	1	99	0.128388148	0.4	0.408730159	7	TRUE	Unlocked Cell Phones
A1LFAMJJM87RSG	B0016J9U0K	1	3	500000	0.942809042	0.222222222	3.807886553	0.4	84	0.310764815	0.6	0.419753086	1	not a review	Unlocked Cell Phones
A31V4LIT5C7OU6	B0016J9U0K	1	2	500000	1.699673171	0	0	0.2	42	0.226644614	0.6	0.393162393	9	not a review	Unlocked Cell Phones
A1YT77UVY8T7W2	B0016J9U0K	2	2.5	0.5	1.469693846	0.2	0.5	0.4	46	0.310764815	0.25	0.415458937	4	TRUE	Unlocked Cell Phones
A3919EID796R4N	B0016J9U0K	1	2.4	500000	0	0.416666667	9.6	1	23	0.128388148	0.4	0.37037037	0	not a review	Unlocked Cell Phones
AGEWOMQ90BV8R	B0016JDBYG	2	1.709677419	357	0.88899766	1.094339623	15.69606783	1	355	0.407692064	0	0.428184282	21	FALSE	Unlocked Cell Phones
ABD6TPKC6ADF4	B0016JDBYG	1	1.238095238	500000	1.669868719	3.884615385	5.464127501	0.2	70	0.16758735	0.8	0.374269006	1	not a review	Unlocked Cell Phones
A2PX38T0HNTFRZ	B0016JDBYG	1	3.2	500000	0.933324033	0	4.140048309	0.6	21	0	0.057142857	0.444444444	1	TRUE	Unlocked Cell Phones
A261C8QG05J5W9	B0016JDBYG	1	3	500000	0.942809042	0	1	0.2	44	0	0.64	0.380952381	43		Unlocked Cell Phones
A35TOWGG1F5CZM	B0016JDBYG	1	1.894736842	500000	0.924211376	1.305555556	17.96616292	1	64	0.407692064	0.4	0.422939068	8		Unlocked Cell Phones
A8BT2X75BJN29	B0016JDBYG	1	2	500000	0	0.5	4	1	58	0.352921481	0.4	0.367521368	3		Unlocked Cell Phones
A3ER04JN0O5PAR	B0016JDBYG	2	3	0.5	1.343709625	0	1.290994449	0.2	61	0.16758735	0.533333333	0.4	6		Unlocked Cell Phones
AAZBI7PRKIMO8	B0016JDBYG	4	4.142857143	81.33333333	1.163250193	0.172413793	8.769613586	1	48	0.365720257	0	0.444444444	2		Unlocked Cell Phones
A9J26ZJHIYPSB	B0016JDE34	1	3	500000	1.343709625	0.5	1.290994449	0.2	38	0.378393734	0.7	0.414141414	1		Unlocked Cell Phones
A1VHXZA3J27WEC	B0016JDE34	2	2.333333333	333	0.451753951	1.428571429	1.900292375	0.8	146	0.5172606	0.2	0.418470418	9		Unlocked Cell Phones
A2KQSQFBHTR0PB	B0016JDE34	1	1.909090909	500000	0.471404521	0.047619048	9.276514378	1	33	0.5172606	0.4	0.374269006	2		Unlocked Cell Phones
A3U139EU4OP03A	B0016JDE34	1	1.272727273	500000	0.515078754	8.5	8.294676178	1	63	0.230019036	0.4	0.409356725	6		Unlocked Cell Phones
A1YT77UVY8T7W2	B0016JDE34	2	2.5	0.5	1.469693846	0.2	0.5	0.4	46	0.378393734	0.266666667	0.415458937	4		Unlocked Cell Phones
A2O8VCG3FWKW59	B001DA708Q	1	1.45	500000	0	0.75862069	27.55	1	27	0.33728926	0.4	0.319444444	0	TRUE	Headsets
A3KPKQZZIHVQZM	B001DA708Q	1	3.4	500000	1.780323053	0.647058824	3.796050579	1	35	0.367328221	0	0.326797386	1	TRUE	Headsets
AHLWZTLVIURNP	B001DA708Q	1	1.2	500000	0.953793595	0.083333333	3.42636834	1	39	0.321182027	0.4	0.361111111	1	TRUE	Headsets
A381C6UUUIAB4V	B001DA708Q	1	2.954545455	500000	1.282194864	0.676923077	20.00277873	1	37	0.27102417	0.028571429	0.349206349	4	TRUE	Headsets
A26F2ZPHBUIJ6W	B001DA708Q	1	1.833333333	500000	1.776801844	0.090909091	2.242270675	1	39	0.170405729	0.033333333	0.38647343	5	TRUE	Headsets
A26FD4U2SMC52A	B001DA708Q	1	1.131578947	500000	0.778288397	6.790697674	16.13076327	1	131	0.367328221	0.04	0.425665102	2	TRUE	Headsets
A3TYJTG8HXTWKY	B001DA708Q	1	1.777777778	500000	0.774974798	1.15625	13.18716173	1	27	0.212367312	0	0.222222222	0	TRUE	Headsets
A72KEKIG7WATK	B001DA708Q	2	2.666666667	193	1.145217638	0.5625	6.146362972	0.8	55	0.278860119	0.2	0.404040404	1	TRUE	Headsets
A332T7LVFZZ2O2	B001DBNCC8	1	1.833333333	500000	1.336085314	0.363636364	1.514742369	0.6	53	0.405681287	0.3	0.361111111	3	not a review	Headsets
A1NJIY0ARFQK6N	B001DBNCC8	1	1.2	500000	0.763762616	0.166666667	1.624807681	0.6	23	0.135581536	0.275	0.393162393	0	not a review	Headsets
A1CZ24UPSJH8WH	B001DBNCC8	1	1.25	500000	0	0.4	3.75	1	32	0.316756134	0.155555556	0.355555556	1	not a review	Headsets
A3LWYDTO7928SH	B001DBNCC8	1	1.166666667	500000	1.807015806	1.285714286	2.773886163	1	22	0.304963626	0.4	0.341880342	1	TRUE	Headsets
A34VHS4MBPL1KK	B001DBNCC8	1	3.5	500000	1.179953495	0.333333333	7.017834424	1	67	0.495214095	0	0.349206349	5	not a review	Headsets
AMAVVOPFCRU0S	B001DBNCC8	2	1.8	496	1.314684396	1.111111111	1.374772708	0.6	150	0.405681287	0.366666667	0.381381381	12	TRUE	Headsets
A2WP3RHHPGN3SG	B001DBNCC8	1	1.428571429	500000	1.152774431	11.13333333	8.05592696	1	127	0.530411946	0	0.38647343	10	not a review	Headsets
