asin	title	cat	subCat	imgUrl	desc	salRank	brand	price
B0016J9U0K	"Motorola RAZR V3 Unlocked Phone with Camera, and Video Player--U.S. Version with Warranty (Blue)"	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/412VDS342TL._SY300_.jpg	"At just over a half-inch thick, the Motorola RAZR V3 is the perfect combination of sleek design and powerful features. An impressive quad-band GSM phone (great for global travelers), the RAZR V3 includes a VGA (640 x 480) camera, Bluetooth connectivity for communication headsets, dual LCD screens, video clip playback, and up to 7 hours of talk time.The RAZR's keypad is precision cut from a single sheet of nickel-plated copper alloy.This unlocked cell phone can be used with a GSM network service provider and it provides quad-band connectivity (850 MHz, 900 MHz, 1800 MHz, 1900 MHz). It does not come with a SIM card, and it requires that you provide a SIM card for usage with your selected service provider. This phone comes with a one-year warranty from a third party provider.Phone FeaturesThe RAZR V3 has a large 176 x 220 color display with 262,000 colors dominates the inside of the top cover, and a supplementary 96 x 80 full-color display on the outside that can display pictures, time, call information, battery and signal strength, and more. Most of the phone's features and on-screen menus are controlled by a five-way center button on the handset's backlit control pad, which is precision cut from a single sheet of nickel-plated copper alloy. A charging port and USB data cable port is placed on the bottom of the phone.Bluetooth Wireless TechnologyStay connected without wires. Choose from a range of optional Bluetooth accessories.MPEG4 Video PlaybackDownload and watch sports action and music clips. They're all beautifully displayed on the large 2.2 color display.Built-in SpeakerphoneKeep the conversation flowing when you're busy by going hands-free. Or exchange ideas in a conference call.Anodized Aluminum CaseThe ultra-thin Moto Razr V3 has the distinctive metallic luster of anodized aluminum.Digital CameraCapture your world in style. Create memorable images with the effective 4 x digital zoom and quick exposure controls.The RAZR V3's internal phone book can hold up to 1000 contacts, while the phone's picture ID system allows you to assign pictures to your most common callers. It also supports polyphonic ringtones as well as MP3 ringers, allowing you to use portions of your favorite songs to alert you to incoming calls. There's even an included application, MotoMixer, that lets you mix your own ringtones. For times when you want to be discreet, there's a vibrating alert. A built-in speakerphone makes it easy to talk without having the phone to your ear while voice activated dialing makes calling your friends, family and associates as easy as saying their names.The RAZR V3 is a messaging and wireless Internet powerhouse. Support is built in for sending and receiving pictures, text, graphics, sound and video via messages. When used in combination with the phone's built-in still and video camera, MMS opens up a whole new world of messaging fun. Instant messaging is also included (with support for AOL, Yahoo!, MSN, and ICQ), and the phone ships with a built-in email client with support for POP3, IMAP4 and SMTP protocols. iTap text entry, which is a technology that makes it easier for people to enter words and text on handsets, is built into the unit-- a plus for mobile email and text messaging users.A number of handy software tools are bundled with the RAZR V3 including a voice memo recorder, a calculator with currency converter, a calendar and an alarm clock. Use the phone's Bluetooth capability to set up a wireless link with a Bluetooth accessory or connect to a computer or hand-held device to exchange and synchronize data. The phone also supports the SyncML PC synchronization standard, can be used with Motorola's Mobile Phone Tools PC application to manage and synchronize contacts, calendar and other data with your PC.The phone's VGA camera features a 4x zoom, image quality options, and an auto-timer so you can be in your pictures, too. Capture stills and then send them to your friends via MMS messaging or email, or to your PC via USB or Bluetooth. The phone is capable of MPEG4 video playback when you receive a video message, or if you upload video to the phone via USB or Bluetooth. The RAZR V3 also supports custom graphics for wallpapers so you can dress up the phone to suit your fancy.Operating the RAZR Battery DoorThe RAZR V3's battery cover is designed to have a very tight fit with the phone case. You may need to use your fingernail or a very thin instrument to depress the small battery cover release button. When replacing the cover, make sure the cover securely snaps into place before operating the phone.Vital StatisticsThe Motorola RAZR V3 weighs 3.42 ounces and measures 3.86 x 2.09 x 0.54 inches. Its 680 mAh lithium-ion battery is rated at up to 6.7 hours of talk time, and up to 250 hours of digital standby time. It runs on the 850/900/1800/1900 GSM/GPRS/EDGE frequencies. This phone comes with a one-year warranty from a third party provider.What's in the BoxHandset, battery, battery door, travel charger, user manual"	20451	Motorola	190.00
B0016JDBYG	"Motorola RAZR V3 Unlocked Phone with Camera, and Video Player - U.S. Version with Warranty (Black)"	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/41294T68YJL._SY300_.jpg	"At just over a half-inch thick, the Motorola RAZR V3 is the perfect combination of sleek design and powerful features. An impressive quad-band GSM phone (great for global travelers), the RAZR V3 includes a VGA (640 x 480) camera, Bluetooth connectivity for communication headsets, dual LCD screens, video clip playback, and up to 7 hours of talk time.The RAZR's keypad is precision cut from a single sheet of nickel-plated copper alloy.This unlocked cell phone can be used with a GSM network service provider and it provides quad-band connectivity (850 MHz, 900 MHz, 1800 MHz, 1900 MHz). It does not come with a SIM card, and it requires that you provide a SIM card for usage with your selected service provider. This phone comes with a one-year warranty from a third party provider.Phone FeaturesThe RAZR V3 has a large 176 x 220 color display with 262,000 colors dominates the inside of the top cover, and a supplementary 96 x 80 full-color display on the outside that can display pictures, time, call information, battery and signal strength, and more. Most of the phone's features and on-screen menus are controlled by a five-way center button on the handset's backlit control pad, which is precision cut from a single sheet of nickel-plated copper alloy. A charging port and USB data cable port is placed on the bottom of the phone.Bluetooth Wireless TechnologyStay connected without wires. Choose from a range of optional Bluetooth accessories.MPEG4 Video PlaybackDownload and watch sports action and music clips. They're all beautifully displayed on the large 2.2 color display.Built-in SpeakerphoneKeep the conversation flowing when you're busy by going hands-free. Or exchange ideas in a conference call.Anodized Aluminum CaseThe ultra-thin Moto Razr V3 has the distinctive metallic luster of anodized aluminum.Digital CameraCapture your world in style. Create memorable images with the effective 4 x digital zoom and quick exposure controls.The RAZR V3's internal phone book can hold up to 1000 contacts, while the phone's picture ID system allows you to assign pictures to your most common callers. It also supports polyphonic ringtones as well as MP3 ringers, allowing you to use portions of your favorite songs to alert you to incoming calls. There's even an included application, MotoMixer, that lets you mix your own ringtones. For times when you want to be discreet, there's a vibrating alert. A built-in speakerphone makes it easy to talk without having the phone to your ear while voice activated dialing makes calling your friends, family and associates as easy as saying their names.The RAZR V3 is a messaging and wireless Internet powerhouse. Support is built in for sending and receiving pictures, text, graphics, sound and video via messages. When used in combination with the phone's built-in still and video camera, MMS opens up a whole new world of messaging fun. Instant messaging is also included (with support for AOL, Yahoo!, MSN, and ICQ), and the phone ships with a built-in email client with support for POP3, IMAP4 and SMTP protocols. iTap text entry, which is a technology that makes it easier for people to enter words and text on handsets, is built into the unit-- a plus for mobile email and text messaging users.A number of handy software tools are bundled with the RAZR V3 including a voice memo recorder, a calculator with currency converter, a calendar and an alarm clock. Use the phone's Bluetooth capability to set up a wireless link with a Bluetooth accessory or connect to a computer or hand-held device to exchange and synchronize data. The phone also supports the SyncML PC synchronization standard, can be used with Motorola's Mobile Phone Tools PC application to manage and synchronize contacts, calendar and other data with your PC.The phone's VGA camera features a 4x zoom, image quality options, and an auto-timer so you can be in your pictures, too. Capture stills and then send them to your friends via MMS messaging or email, or to your PC via USB or Bluetooth. The phone is capable of MPEG4 video playback when you receive a video message, or if you upload video to the phone via USB or Bluetooth. The RAZR V3 also supports custom graphics for wallpapers so you can dress up the phone to suit your fancy.Operating the RAZR Battery DoorThe RAZR V3's battery cover is designed to have a very tight fit with the phone case. You may need to use your fingernail or a very thin instrument to depress the small battery cover release button. When replacing the cover, make sure the cover securely snaps into place before operating the phone.Vital StatisticsThe Motorola RAZR V3 weighs 3.42 ounces and measures 3.86 x 2.09 x 0.54 inches. Its 680 mAh lithium-ion battery is rated at up to 6.7 hours of talk time, and up to 250 hours of digital standby time. It runs on the 850/900/1800/1900 GSM/GPRS/EDGE frequencies. This phone comes with a one-year warranty from a third party provider."	6314	Motorola	197.73
B0016JDE34	Motorola RAZR V3 Unlocked Phone with Camera and Video Player--U.S. Version with Warranty (Silver)	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/413r73fzuzL._SY300_.jpg	"At just over a half-inch thick, the Motorola RAZR V3 is the perfect combination of sleek design and powerful features. An impressive quad-band GSM phone (great for global travelers), the RAZR V3 includes a VGA (640 x 480) camera, Bluetooth connectivity for communication headsets, dual LCD screens, video clip playback, and up to 7 hours of talk time.The RAZR's keypad is precision cut from a single sheet of nickel-plated copper alloy.This unlocked cell phone can be used with a GSM network service provider and it provides quad-band connectivity (850 MHz, 900 MHz, 1800 MHz, 1900 MHz). It does not come with a SIM card, and it requires that you provide a SIM card for usage with your selected service provider. This phone comes with a one-year warranty from a third party provider.Phone FeaturesThe RAZR V3 has a large 176 x 220 color display with 262,000 colors dominates the inside of the top cover, and a supplementary 96 x 80 full-color display on the outside that can display pictures, time, call information, battery and signal strength, and more. Most of the phone's features and on-screen menus are controlled by a five-way center button on the handset's backlit control pad, which is precision cut from a single sheet of nickel-plated copper alloy. A charging port and USB data cable port is placed on the bottom of the phone.Bluetooth Wireless TechnologyStay connected without wires. Choose from a range of optional Bluetooth accessories.MPEG4 Video PlaybackDownload and watch sports action and music clips. They're all beautifully displayed on the large 2.2 color display.Built-in SpeakerphoneKeep the conversation flowing when you're busy by going hands-free. Or exchange ideas in a conference call.Anodized Aluminum CaseThe ultra-thin Moto Razr V3 has the distinctive metallic luster of anodized aluminum.Digital CameraCapture your world in style. Create memorable images with the effective 4 x digital zoom and quick exposure controls.The RAZR V3's internal phone book can hold up to 1000 contacts, while the phone's picture ID system allows you to assign pictures to your most common callers. It also supports polyphonic ringtones as well as MP3 ringers, allowing you to use portions of your favorite songs to alert you to incoming calls. There's even an included application, MotoMixer, that lets you mix your own ringtones. For times when you want to be discreet, there's a vibrating alert. A built-in speakerphone makes it easy to talk without having the phone to your ear while voice activated dialing makes calling your friends, family and associates as easy as saying their names.The RAZR V3 is a messaging and wireless Internet powerhouse. Support is built in for sending and receiving pictures, text, graphics, sound and video via messages. When used in combination with the phone's built-in still and video camera, MMS opens up a whole new world of messaging fun. Instant messaging is also included (with support for AOL, Yahoo!, MSN, and ICQ), and the phone ships with a built-in email client with support for POP3, IMAP4 and SMTP protocols. iTap text entry, which is a technology that makes it easier for people to enter words and text on handsets, is built into the unit-- a plus for mobile email and text messaging users.A number of handy software tools are bundled with the RAZR V3 including a voice memo recorder, a calculator with currency converter, a calendar and an alarm clock. Use the phone's Bluetooth capability to set up a wireless link with a Bluetooth accessory or connect to a computer or hand-held device to exchange and synchronize data. The phone also supports the SyncML PC synchronization standard, can be used with Motorola's Mobile Phone Tools PC application to manage and synchronize contacts, calendar and other data with your PC.The phone's VGA camera features a 4x zoom, image quality options, and an auto-timer so you can be in your pictures, too. Capture stills and then send them to your friends via MMS messaging or email, or to your PC via USB or Bluetooth. The phone is capable of MPEG4 video playback when you receive a video message, or if you upload video to the phone via USB or Bluetooth. The RAZR V3 also supports custom graphics for wallpapers so you can dress up the phone to suit your fancy.Operating the RAZR Battery DoorThe RAZR V3's battery cover is designed to have a very tight fit with the phone case. You may need to use your fingernail or a very thin instrument to depress the small battery cover release button. When replacing the cover, make sure the cover securely snaps into place before operating the phone.Vital StatisticsThe Motorola RAZR V3 weighs 3.42 ounces and measures 3.86 x 2.09 x 0.54 inches. Its 680 mAh lithium-ion battery is rated at up to 6.7 hours of talk time, and up to 250 hours of digital standby time. It runs on the 850/900/1800/1900 GSM/GPRS/EDGE frequencies. This phone comes with a one-year warranty from a third party provider."	9347	Motorola	197.74
B001DA708Q	Spare Large Eartips Kit Discovery 925 (pack of 3 )	Cell_Phones_and_Accessories	Headsets	http://ecx.images-amazon.com/images/I/210u9xEyvPL._SX300_.jpg	"Spare,Large,Eartips Kit,Discovery 925/975"	48580	Plantronics	96.00
B001DBNCC8	Plantronics 79393-01 Discovery 925/975 Micro USB Lanyard	Cell_Phones_and_Accessories	Headsets	http://ecx.images-amazon.com/images/I/41GUmXVRgUL._SX300_.jpg	DISCOVERY 925 MICRO USB LANYARD	40924	Plantronics	96.00
B001F7VN6M	"BlackBerry Bold 9000 Unlocked Phone with 2 MP Camera, 3G, Wi-Fi, GPS Navigation, and MicroSD Slot--International Version with No Warranty (Black)"	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/41Vp3Frq9JL._SY300_.jpg	"The fastest, most powerful BlackBerry ever has arrived. It's a global phone equipped with 3G simultaneous voice and data capability. Crafted from premium materials, inside and out, this smartphone is designed to give business professionals and power users unprecedented functionality and performance in an intuitive design. It's fully loaded with integrated GPS with WiFi for access at thousands hotspot locations nationwide, including. The color LCD screen is fused to the undersurface of the lens, making images leap out with stunning definition and clarity. Pictures are vibrant and sharp, while videos play smoothly and Web pages, documents, presentations, and messages snap with exceptional quality and contrast."	22244	BlackBerry	190.00
B001GX6MJ8	Plantronics Cordless Headset Phone - CT14	Cell_Phones_and_Accessories	Headsets	http://ecx.images-amazon.com/images/I/414G3c2YvML._SX300_.jpg	"From the Manufacturer With high-performance technologies for range and sound clarity, including DECT 6.0 wireless technology and a noise canceling microphone, the Plantronics CT14 DECT 6.0 Cordless Headset Phone is the ideal hands-free phone solution for the home or small business. A convertible headset that can be worn over the head or over the ear, a wearable dial pad that offers up to 300 feet of range and 10 hours of continuous talk time on a single charge, a 70-entry phone book, and a 30-entry caller ID memory give the CT14 all the hands-free calling features your busy life and work demand.The compact dial pad features a backlit LCD display, built-in caller ID memory, and a 70 number phonebook.View larger.2-in-1 design lets you select the wearing style that's most comfortable.View larger.DECT 6.0 and Noise Canceling Microphone for Enhanced PerformanceWith the CT14, you no longer have to decide between finishing that home office chore or taking that important call. Relying on the DECT 6.0 frequency (1.9 GHz) for all communications, the CT14 offers a roaming range of up to 300 feet and significantly better reception when compared to standard 2.4 or 5.8 GHz cordless phone systems.This added performance allows you to stay in range of your calls as you roam throughout your home. And because DECT 6.0 is used exclusively for voice communication applications, wireless networks and home appliances such as microwaves will not interfere with your calls.And by registering up to six dial pads to one base, you can get intercom and conferencing options--a great feature for multistory homes and large offices. The CT14 headset also features a flexible mouthpiece that can be positioned precisely where you need it, while its noise-canceling microphone transmits your voice clearly without the background noise that a busy home or workplace can produce.Versatile Headset Design and Convenient Dial Pad Features for All-Day UseThe CT14 features a 2-in-1 convertible-style headset, giving you the option of wearing it either over the head for long calls or conferencing, or over the ear. Either way, you get a comfortable fit that is designed for all-day use.With an integrated belt/clothing clip that allows you roam away from your desk during your calls, the ultra-compact dial pad is also designed for all-day wear. The dial pad conveniently puts controls for volume, mute, one-touch voice mail, and more within easy reach. It also offers several standard telephone functions, such as call waiting (requires a separate subscription through your telephone service provider) and redial.The dial pad also includes an easy-to-read backlit LCD caller ID display, a built-in memory that stores up to 30 caller ID numbers, and a built-in phonebook for up to 70 contacts. This dial pad offers up to 10 hours of talk time and 8 days of standby on a single charge, giving you the ability to talk all day.The CT14 is backed by a one-year limited warranty.What's in the BoxDial pad with belt clip, headset, and charging station with built-in headset stand, telephone cable, AC power adapter, user guide.With up to 10 hours of talk time and 8 days of standby, you can roam all day on a single charge."	1976	Plantronics	97.08
B001LYRBCO	LG Dare VX-9700 Cell Phone - Verizon or Page Plus	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/41hG19TU6nL._SX300_.jpg	"The LG Dare VX-9700 is a feature-rich phone with a large finger-touch display. The Dare comes with a 3.2 megapixel camera with auto focus and face detection, and also includes VGA resolution video capture up to 120 fps. Other key features of this phone include 3G EVDO Rev A data, MP3 player, Bluetooth compatibility, microSD slot for additional storage and GPS navigation. The Dare is equipped with support for multiple languages including Spanish, and is a reliable device with great sound quality."	4175	LG	199.99
B001MRZY3S	LG KP500 Cookie Unlocked Phone with 3.2 MP Camera and Digital Media Player--International Version (Black)	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/41BiMx1FKyL._SY300_.jpg	"Designed to allow more people to experience a taste of touch technology at an attractive price, the LG KP500 Cookie is packed full of advanced features usually found exclusively in premium full touchscreen handsets. Its easily accessible multimedia features--available through widgets as well as shortcut icons--provide a fun and easy mobile experience with a single touch of its 3-inch screen. It comes with a stylus that tucks away in the back of the phone and features easy-to-use handwriting recognition.The affordably priced LG Cookie offers user-friendly touchscreen technology, 3.2-megapixel camera, Bluetooth stereo music, and MicroSD memory expansion.You'll be able to capture still photos and video clips on the go thanks to the 3.2-megapixel camera, as well as enjoy advanced gaming thanks to the touchscreen and the Cookie's motion sensor technology. Other features include Bluetooth connectivity for hands-free devices and stereo music streaming, MicroSD memory expansion, digital audio player, stereo FM with RDS capabilities, access to personal email with a document viewer, and over three hours of talk time.quad band with NO 3GUnlocked PhoneThis unlocked cell phone can be used with a GSM network service provider and it provides quad-band connectivity (850/900/1800/1900 MHz). It does not come with a SIM card, and it requires that you provide a SIM card for usage with your selected service provider.Phone FeaturesThe Cookie's large 3-inch touchscreen (240 x 400 pixels, 256K colors) provides an optimized interface for all forms of multimedia content, and its rotating display automatically shifts from narrow to wide mode and vice versa according to the contents and your position. The large screen size and excellent color depth make it ideal for watching movies, taking pictures, browsing the Internet, and creating and editing drawings and documents. The Home screen menu from LG's Flash user interface (UI) provides quick access to your calendar, alarm clock and digital audio player. The optimized QWERTY keyboard, which automatically comes out when the screen is in wide display mode, enables fast and easy input for email and text-messaging.With the Cookie's handwriting recognition, you can write and draw on messages or background pictures taken with the phone's camera, as well as send text messages without even using the virtual keyboard. It's also great for realistic gameplay thanks to the embedded motion sensor technology, which recognizes your hand movements and reflects them in the game itself.The Cookie includes a small 48 MB internal memory, which can be expanded via optional MicroSD memory cards up to 8 GB in size. The internal phonebook can store up to 1000 contact entries (each with 15 fields for storing multiple numbers, email addresses, IM handles, and more), as well as up to 500 text messages, 500 memos, and 500 to-do items. It also features support for caller groups and picture/ringer ID, display of the 40 most recent dialed/received/missed calls, and compatibility with both MP3 and polyphonic (64-chord) ringtones.This phone provides the latest version of Bluetooth connectivity--version 2.1 + Enhanced Data Rate (EDR)--which makes pairing with any Bluetooth device a snap. And with the embedded A2DP Bluetooth profile, you can stream your music to a pair of Bluetooth stereo headphones or other compatible devices.The 3.2-megapixel camera offers six resolution options (320x240 / 400x240 / 640x480 / 1280x960 / 1600x1200 / 2048x1536) as well as a 2x digital zoom. Other features include night mode capabilities for low-light situations, white balance and brightness adjustments, continuous shot capabilities (3, 6, or 9), three quality options, color effects, a self-timer, and in-phone image editing. In addition to still photos, the Cookie can capture video clips in two resolution options (176x144 / 320x240, 12 fps).The digital media player offers wide compatibility for audio (MP3, AAC, AAC+, WMA, RA) and video (MPEG4/H.263), and it features equalizer pre-sets (Classic, jazz, Pop, Rock, Concert hall). It also includes a built-in FM radio with RDS, which displays the name of the currently playing song (when tuned to compatible radio stations).Other features include:Messaging: SMS, EMS, MMS, EmailDocument viewer: MS Office, Doc, PDFEmbedded applications and games: Data Wallet, Pipe, Wheelmania, Flying Dices, Thomsons &amp; TouchOrganizer tools: Calendar, memo, to-do, world clock, unit converter, calculator, alarm, stopwatchUSB 2.0 connectivitySpeakerphone, voice memo recordingWeb browser (WAP 2.0/xHTML)Flight modeVital StatisticsThe LG Cookie weighs 3.14 ounces and measures 4.19 x 2.18 x 0.47 inches. Its 900 mAh lithium-ion battery is rated at up to over three hours of talk time, and up to 350 hours of standby time. It runs on the 850/900/1800/1900 MHz GSM/GPRS/EDGE frequencies.What's in the BoxLG Cookie, battery, battery door, travel charger, USB cable, screen protector, CD with software, printed user guide. Headset not included.User Manual"	99709	LG	190.00
B001OD2OAQ	"BlackBerry Curve 8900 Javelin Unlocked Phone with 3.2 MP Camera, GPS Navigation, Stereo Bluetooth, and MicroSD Slot--US Version with No Warranty (Black)"	Cell_Phones_and_Accessories	Unlocked Cell Phones	http://ecx.images-amazon.com/images/I/41A0geDs8PL._SY300_.jpg	"Updating the look of the Curve with a sleekly styled titanium finish, the BlackBerry Curve 8900 is the thinnest and lightest full-QWERTY BlackBerry smartphone yet. In addition to its stunning good looks--with titanium-colored finish accented by chrome highlights--the Curve 8900 is packed with communication and location features. The built-in Wi-Fi (802.11 b/g) supports both voice and data, while the built-in GPS supports location-based services including turn-by-turn navigation.quad band with NO 3GWith its stunning titanium-colored finish and chrome highlights, the sleek and slender design of the BlackBerry Curve 8900 smartphone dresses it for any occasion (seelarger image). Check out theCurve 8900 101 video demo.And, of course, you'll enjoy all the communication and connectivity features you've come to expect from a Blackberry phone--including email served up by the BlackBerry Internet Service and a full menu of messaging options (SMS, MMS, and IM). The handset's advanced multimedia capabilities include a 3.2-megapixel camera with image stabilization, digital zoom, flash and the ability to record video and play video. Other features include a hot-swappable MicroSD/SDHC memory card slot (for cards up to 16 GB; 256 MB card included), Bluetooth for handsfree communication and stereo music streaming, multi-format digital audio player, unlimited any-network calling to any 5 people with a myFaves plan, and up to 5.5 hours of talk time.Unlocked PhoneThis unlocked cell phone can be used with a GSM network service provider and it provides quad-band connectivity (850/900/1800/1900 MHz) as well as EDGE data connectivity. It does not come with a SIM card, and it requires that you provide a SIM card for usage with your selected service provider.Staying ConnectedWith BlackBerry's push email technology, your email will find you without having to initiate a connection. BlackBerry devices are designed to remain on and continuously connected to the wireless network, notifying you as new email arrives. In addition to the text, you can also receive and view attachments in a wide range of popular file formats, including Microsoft Office, Corel WordPerfect, and Adobe PDF.Browse the web with the integrated, full-featured browser, which quickly and efficiently displays HTML pages as well as enables you to set up RSS feeds to stay connected to up-to-the-minute news and blog posts. And keep up with your contacts using a variety of instant message (IM) networks, including the integrated Blackberry Messenger as well as downloadable clients for Google Talk, Yahoo! Messenger, and Lotus Sametime.For corporate users, the Curve delivers all the enterprise email and messaging capabilities you've come to expect. It's supported on BlackBerry Internet Service, giving you access to up to 10 work or personal email accounts (including most popular ISP email accounts), as well as BlackBerry Enterprise Server, enabling advanced security and IT administration within IBM Lotus Domino, Microsoft Exchange and Novell GroupWise environments.The Curve 8900 includes Wi-Fi connectivity, Bluetooth stereo music streaming, GPS navigation capabilities, MicroSD expansion to 16 GB, and more.Capture high-resolution photos and videos with the 3.2-megapixel camera on the back.Phone FeaturesWith a refined design, the BlackBerry Curve 8900 smartphone supports both your professional and personal mobile communication needs to help you enjoy a more organized, balanced life. In addition to a sleek, stylish design, the powerful new smartphone includes a large, vivid display--the highest resolution available on a BlackBerry smartphone--as well as a 512 MHz next-generation processor for fast and responsive performance.The striking 2.4-inch, 480 x 360-pixel display (65K colors) serves up crisp images, text and maps so information is easier to read, even when you're on the go. It also includes a light-sensing feature that automatically adjusts backlighting for indoor, outdoor and dark environments. Like other Curve models, the Curve 8900 includes a trackball navigation system located on the top of the QWERTY keypad, and it features an integrated spell checker with a customizable dictionary to help maintain accuracy.You can snap vivid photos as well as video clips using the 3.2-megapixel camera on the back of the Curve, which also features a 2x digital zoom, auto focus, image stabilization, and a flash. Transfer pictures and videos between your smartphone and your desktop computer easily using the USB cable that comes with the smartphone, or via Bluetooth technology.You can also capture video clips on the go, with two resolution choices--480 x 352 pixels for saving to your PC and 176 x 144 pixels for sending via MMS messaging. In addition to recording videos, the Curve 8900 also supports mobile video streaming as well as videos saved from your PC. It's compatible with DivX, XviD (MPEG4 Advance Simple Profile), H.263, and WMV3 formats.Listen to your favorite music using an optional wireless headphone thanks to the Curve's support for the Bluetooth stereo audio profile (A2DP/AVRCP). The Curve is compatible with a wide variety of file formats (.3gp, WAV, MIDI, AMR-NB, G711u/A, GSM610, PCM, MP3, AAC/AAC+/eAAC+, WMA9/10 Standard/Pro) and dedicated volume controls are conveniently located on the side of the handset.Handsfree communication is easy thanks to the integrated speakerphone. This phone also provides Bluetooth wireless connectivity (version 2.0 + EDR), and includes profiles for communication headset, handsfree car kits, and file transfer. You can connect your laptop (either via Bluetooth or wired USB) and enjoy dial-up networking--surf the Internet, send email, and access files from a server.With the Voice-Activated Dialing (VAD) feature, you can initiate a call just by telling the Curve who to call from your contact list--either via the integrated speakerphone or using an optional Bluetooth wireless headset. Other advanced phone features include advanced sound technology that cancels out background noise and echo, dedicated volume and mute keys, and the ability to customize the Curve with polyphonic and MP3 ringtones.The BlackBerry Browser on the Curve 8900 is designed to make on-the-go Internet browsing fast and fun--you can even start a search right from the home page. Navigate sites and zoom in on content using a trackball-controlled pointer, set bookmarks and view your history. Plus, the BlackBerry Browser works with a host of other applications to make things like online purchasing and tracking information on your favorite pages easier.The easier a map is to read, the easier it is to follow. Together with BlackBerry Maps, the crisp, colorful screen of the Curve 8900 is designed to make it easier to find the location of businesses, restaurants, concert venues, parks and more by allowing you to check maps and get driving directions quickly and conveniently. When you're connected to the network, you can even launch maps from your address book. BlackBerry Maps is also designed to help make trips easier by providing route options like fastest or shortest and displaying directions visually along with text-based turn-by-turn instructions.Whether your instant messaging (IM) account is with Yahoo! Messenger, Google Talk, AOL Instant Messenger, ICQ or Windows Live Messenger, you can bring your IM community wherever life takes you. Like the desktop versions, these programs offer features like avatars and emoticons. And, because BlackBerry applications work together, you can also start an IM chat from your address book, call or email an IM contact while chatting or even check your calendar right from a chat.Other features include:Easily synch with Microsoft Outlook: Stay in synch with your Contacts, Calendar, and Tasks in Microsoft OutlookEdit Microsoft Word, Excel and PowerPoint files: Just download attachments and start typing. You'll enjoy many of the same features you do on your computer--copy and paste, font size and color, even bullets and numbering and more.Remote Search: If you prefer not to carry all your email on your Curve 8900 smartphone, Remote Search can be used to find emails that are still stored on your BlackBerry Enterprise Server using name, subject and other options to narrow the field.BlackBerry Media Sync: Sync your desktop iTunes music files with your BlackBerry smartphone.Free/Busy Lookup: View your colleagues' calendars to see who's available at what time right from your BlackBerry smartphone.RSS (Really Simple Syndication) feeds support: With RSS, you don't need to check important websites for updates, new content can be pushed to you automatically.Send and receive text and picture messages (SMS and MMS)Bluetooth version 2.0 + EDR with the following profiles: A2DP (stereo music streaming), AVRC (remote control), HFP (hands-free car kits), HSP (communication headsets), DUN (dial-up networking), FTP (file transfer), PBA (transfer contacts)Vital StatisticsThe Blackberry Curve 8900 weighs 3.9 ounces and measures 2.4 x 4.3 x 0.5 inches. Its 1400 mAh lithium-ion battery is rated at up to 5.5 hours of talk time, and up to 360 hours (15 days) of standby time. It runs on the 850/900/1800/1900 MHz GSM/GPRS/EDGE frequencies.What's in the BoxHandset, battery, micro USB cable, travel charger, RIM documentation"	25531	BlackBerry	174.80
